"WTeam","LTeam","WLoc"
"Detroit Pistons","Atlanta Hawks","V"
"Chicago Bulls","Cleveland Cavaliers","H"
"Golden State Warriors","New Orleans Pelicans","H"
"Boston Celtics","Philadelphia 76ers","H"
"Chicago Bulls","Brooklyn Nets","V"
"Detroit Pistons","Utah Jazz","H"
"Denver Nuggets","Houston Rockets","V"
"Minnesota Timberwolves","Los Angeles Lakers","V"
"Cleveland Cavaliers","Memphis Grizzlies","V"
"Miami Heat","Charlotte Hornets","H"
"New York Knicks","Milwaukee Bucks","V"
"Oklahoma City Thunder","San Antonio Spurs","H"
"Washington Wizards","Orlando Magic","V"
"Dallas Mavericks","Phoenix Suns","V"
"Portland Trail Blazers","New Orleans Pelicans","H"
"Los Angeles Clippers","Sacramento Kings","V"
"Toronto Raptors","Indiana Pacers","H"
"Memphis Grizzlies","Indiana Pacers","V"
"Los Angeles Clippers","Dallas Mavericks","H"
"Atlanta Hawks","New York Knicks","V"
"Atlanta Hawks","Charlotte Hornets","H"
"Toronto Raptors","Boston Celtics","V"
"Cleveland Cavaliers","Miami Heat","H"
"Minnesota Timberwolves","Denver Nuggets","V"
"Detroit Pistons","Chicago Bulls","H"
"Golden State Warriors","Houston Rockets","V"
"Washington Wizards","Milwaukee Bucks","V"
"Oklahoma City Thunder","Orlando Magic","V"
"Utah Jazz","Philadelphia 76ers","V"
"Phoenix Suns","Portland Trail Blazers","H"
"Sacramento Kings","Los Angeles Lakers","H"
"San Antonio Spurs","Brooklyn Nets","H"
"Utah Jazz","Indiana Pacers","V"
"Los Angeles Clippers","Sacramento Kings","H"
"Memphis Grizzlies","Brooklyn Nets","H"
"Golden State Warriors","New Orleans Pelicans","V"
"Phoenix Suns","Portland Trail Blazers","V"
"New York Knicks","Washington Wizards","V"
"Cleveland Cavaliers","New York Knicks","H"
"San Antonio Spurs","Golden State Warriors","V"
"Portland Trail Blazers","Utah Jazz","H"
"Boston Celtics","Brooklyn Nets","H"
"Indiana Pacers","Dallas Mavericks","H"
"Los Angeles Lakers","Houston Rockets","H"
"Memphis Grizzlies","Minnesota Timberwolves","H"
"Charlotte Hornets","Milwaukee Bucks","V"
"Denver Nuggets","New Orleans Pelicans","V"
"Miami Heat","Orlando Magic","V"
"Oklahoma City Thunder","Philadelphia 76ers","V"
"Sacramento Kings","Phoenix Suns","V"
"Toronto Raptors","Detroit Pistons","H"
"Atlanta Hawks","Washington Wizards","H"
"Chicago Bulls","Boston Celtics","H"
"Los Angeles Clippers","Portland Trail Blazers","V"
"San Antonio Spurs","Sacramento Kings","V"
"Brooklyn Nets","Indiana Pacers","H"
"Houston Rockets","Dallas Mavericks","V"
"Detroit Pistons","Orlando Magic","H"
"Charlotte Hornets","Miami Heat","V"
"Golden State Warriors","New Orleans Pelicans","V"
"Oklahoma City Thunder","Phoenix Suns","H"
"Cleveland Cavaliers","Toronto Raptors","V"
"Utah Jazz","Los Angeles Lakers","H"
"Chicago Bulls","Indiana Pacers","H"
"Boston Celtics","Charlotte Hornets","V"
"Cleveland Cavaliers","Orlando Magic","H"
"Portland Trail Blazers","Denver Nuggets","V"
"Milwaukee Bucks","Brooklyn Nets","H"
"New York Knicks","Memphis Grizzlies","H"
"Atlanta Hawks","Philadelphia 76ers","V"
"Sacramento Kings","Minnesota Timberwolves","H"
"San Antonio Spurs","New Orleans Pelicans","H"
"Detroit Pistons","Milwaukee Bucks","H"
"Houston Rockets","Dallas Mavericks","H"
"Los Angeles Clippers","Utah Jazz","H"
"Memphis Grizzlies","Washington Wizards","H"
"San Antonio Spurs","Miami Heat","V"
"Oklahoma City Thunder","Los Angeles Lakers","H"
"Golden State Warriors","Phoenix Suns","V"
"Atlanta Hawks","Sacramento Kings","H"
"Chicago Bulls","Brooklyn Nets","V"
"Los Angeles Clippers","Phoenix Suns","H"
"Toronto Raptors","Denver Nuggets","H"
"Cleveland Cavaliers","Boston Celtics","H"
"Houston Rockets","Golden State Warriors","V"
"Milwaukee Bucks","Boston Celtics","V"
"Atlanta Hawks","Dallas Mavericks","V"
"Detroit Pistons","Charlotte Hornets","H"
"Indiana Pacers","Brooklyn Nets","H"
"Memphis Grizzlies","New Orleans Pelicans","H"
"Orlando Magic","Miami Heat","H"
"Portland Trail Blazers","Phoenix Suns","V"
"Houston Rockets","Sacramento Kings","V"
"San Antonio Spurs","Minnesota Timberwolves","H"
"Utah Jazz","Denver Nuggets","H"
"Washington Wizards","Philadelphia 76ers","H"
"Los Angeles Clippers","Los Angeles Lakers","V"
"Oklahoma City Thunder","New York Knicks","H"
"Toronto Raptors","Chicago Bulls","H"
"Brooklyn Nets","Orlando Magic","H"
"Charlotte Hornets","Atlanta Hawks","H"
"Sacramento Kings","Dallas Mavericks","V"
"Portland Trail Blazers","Indiana Pacers","V"
"Cleveland Cavaliers","Milwaukee Bucks","V"
"Minnesota Timberwolves","Utah Jazz","H"
"Golden State Warriors","New Orleans Pelicans","V"
"Boston Celtics","Philadelphia 76ers","V"
"Los Angeles Lakers","Phoenix Suns","V"
"Washington Wizards","Detroit Pistons","H"
"San Antonio Spurs","Chicago Bulls","V"
"Orlando Magic","Cleveland Cavaliers","V"
"Denver Nuggets","Sacramento Kings","H"
"Houston Rockets","Dallas Mavericks","H"
"Los Angeles Clippers","Phoenix Suns","H"
"Memphis Grizzlies","Golden State Warriors","H"
"Miami Heat","Indiana Pacers","H"
"Milwaukee Bucks","Portland Trail Blazers","H"
"Detroit Pistons","New York Knicks","V"
"Toronto Raptors","Philadelphia 76ers","H"
"Utah Jazz","Oklahoma City Thunder","H"
"Brooklyn Nets","Atlanta Hawks","H"
"New Orleans Pelicans","Los Angeles Lakers","V"
"Minnesota Timberwolves","Oklahoma City Thunder","V"
"Golden State Warriors","Dallas Mavericks","V"
"Washington Wizards","Denver Nuggets","V"
"Philadelphia 76ers","Detroit Pistons","V"
"Memphis Grizzlies","Houston Rockets","V"
"Miami Heat","Atlanta Hawks","H"
"Milwaukee Bucks","Charlotte Hornets","H"
"Phoenix Suns","Sacramento Kings","H"
"San Antonio Spurs","Toronto Raptors","H"
"Boston Celtics","New York Knicks","H"
"Cleveland Cavaliers","Chicago Bulls","H"
"Los Angeles Clippers","Utah Jazz","H"
"Indiana Pacers","Minnesota Timberwolves","V"
"Orlando Magic","Brooklyn Nets","H"
"Portland Trail Blazers","New Orleans Pelicans","H"
"Brooklyn Nets","Cleveland Cavaliers","H"
"Charlotte Hornets","Denver Nuggets","H"
"Dallas Mavericks","Memphis Grizzlies","H"
"Detroit Pistons","Minnesota Timberwolves","H"
"Golden State Warriors","Toronto Raptors","H"
"Los Angeles Lakers","Washington Wizards","H"
"San Antonio Spurs","Miami Heat","V"
"Oklahoma City Thunder","Indiana Pacers","H"
"Houston Rockets","Philadelphia 76ers","V"
"Phoenix Suns","Utah Jazz","H"
"Chicago Bulls","Atlanta Hawks","H"
"Memphis Grizzlies","Dallas Mavericks","H"
"Boston Celtics","Milwaukee Bucks","V"
"Los Angeles Clippers","Portland Trail Blazers","V"
"New Orleans Pelicans","Sacramento Kings","V"
"Denver Nuggets","Atlanta Hawks","V"
"Houston Rockets","Charlotte Hornets","V"
"Golden State Warriors","Washington Wizards","H"
"Toronto Raptors","Los Angeles Lakers","V"
"Minnesota Timberwolves","Oklahoma City Thunder","H"
"New York Knicks","Brooklyn Nets","H"
"Orlando Magic","San Antonio Spurs","H"
"Oklahoma City Thunder","Chicago Bulls","V"
"Philadelphia 76ers","Dallas Mavericks","V"
"Detroit Pistons","Los Angeles Clippers","V"
"Memphis Grizzlies","Houston Rockets","H"
"Boston Celtics","Miami Heat","V"
"New Orleans Pelicans","Cleveland Cavaliers","H"
"Portland Trail Blazers","Phoenix Suns","H"
"Utah Jazz","Los Angeles Lakers","H"
"Milwaukee Bucks","Atlanta Hawks","V"
"Denver Nuggets","Brooklyn Nets","V"
"Charlotte Hornets","Orlando Magic","H"
"New York Knicks","Cleveland Cavaliers","V"
"Detroit Pistons","Golden State Warriors","V"
"Indiana Pacers","San Antonio Spurs","H"
"Washington Wizards","Sacramento Kings","V"
"Boston Celtics","San Antonio Spurs","H"
"Philadelphia 76ers","Houston Rockets","V"
"Golden State Warriors","Los Angeles Clippers","V"
"Charlotte Hornets","Memphis Grizzlies","V"
"Minnesota Timberwolves","Miami Heat","V"
"Orlando Magic","New Orleans Pelicans","V"
"New York Knicks","Denver Nuggets","H"
"Toronto Raptors","Portland Trail Blazers","V"
"Utah Jazz","Dallas Mavericks","H"
"Phoenix Suns","Brooklyn Nets","V"
"Indiana Pacers","Sacramento Kings","H"
"Los Angeles Lakers","Detroit Pistons","H"
"Oklahoma City Thunder","Milwaukee Bucks","V"
